nav_root,nav_group,nav_group_1,Part Number,Description,Discount Type,2026 List Price
Honeywell CLSS,Gateway,,HON-CGW-MBB,Fixed CLSS Gateway (Ethernet and Wi-Fi),HSF,£304.00
Honeywell CLSS,Gateway,,CCM2-GLOBAL,GSM Module,HSF,£151.00
Honeywell CLSS,Accessories,,CLSS-BC,"CLSS Bar Codes, roll of 1000",HSF,£96.00
Honeywell CLSS,Bundle,,VIG-UPGR-CLSS,"Vigilon Bundle - Contains Gateway, GSM Module, I/O card, PSU and batteries. Bundle price for existing Vigilon installations.",HSF,"£1,103.00"
Honeywell CLSS,Bundle,,DXC-UPGR-CLSS,"Morley DXC Bundle - Contains Gateway, GSM Module and RS232 card. Bundle price for existing DXc installations.",HSF,£719.00
Honeywell CLSS,SAAS,,GATEWAY SUBSCRIPTION SINGLE PANEL,"Yearly Gateway Connection Fee for a Single Panel
Includes GSM Data Charges and Unlimited Professional Technician Licenses. 
Currently only available to order via CLSS SITE MANAGER",NETT,£240.00
Honeywell CLSS,SAAS,,GATEWAY SUBSCRIPTION NETWORK SYSTEM,"Yearly Gateway Connection Fee for a single Network (Domain).
Includes GSM Data Charges and Unlimited Professional Technician Licenses.
Currently only available to order via CLSS SITE MANAGER",NETT,£360.00
Honeywell CLSS,SAAS,,"GATEWAY SUBSCRIPTION 
PRO FM","Yearly Gateway Professional Facility Manager License
Access to end user MCP testing and Panel Controls - 1 License per User
Currently only available to order via CLSS SITE MANAGER",NETT,£96.00
Honeywell CLSS,SAAS,,GATEWAY SUBSCRIPTION VESDA,"Vesda Detector Connection to CLSS (requires a Gateway)
1 VESDA license per Detector
Currently only available to order via CLSS SITE MANAGER",NETT,£56.00
Honeywell CLSS,SAAS,,ST-LICENSE-1Y,"Self-Test 1 Year License
1 required per ST device
Unlimited testing for 1 year
Order via Quotation or E-commerce Portal
",NETT,£1.40
Honeywell CLSS,SAAS,,ST-LICENSE-3Y,"Self-Test 3 Year License
1 required per ST device
Unlimited testing for 3 years
Order via Quotation or E-commerce Portal",NETT,£4.20
Honeywell CLSS,SAAS,,ST-LICENSE-5Y,"Self-Test 5 Year License
1 required per ST device
Unlimited testing for 5 years
Order via Quotation or E-commerce Portal",NETT,£7.00
Honeywell CLSS,SAAS,,ST-LICENSE-10Y,"Self-Test 10 Year License
1 required per ST device
Unlimited testing for 10 years
Order via Quotation or E-commerce Portal",NETT,£14.00
Honeywell CLSS,SAAS,,ST-LICENCE-14Y,"Self-Test 14 Year License
1 required per ST device
Unlimited testing for 14 years
Order via Quotation or E-commerce Portal
",NETT,£19.60
Conventional,Conventional Xenex Panels,,13270-02LB,"2 Zone conventional panel, EN54 less batteries",STD,£313.00
Conventional,Conventional Xenex Panels,,13270-04LB,"4 Zone conventional panel, EN54 less batteries",STD,£422.00
Conventional,Conventional Xenex Panels,,13270-08LB,"8 Zone conventional panel, EN54 less batteries",STD,£543.00
Conventional,Conventional Xenex Panels,,13271-08LB,"8 Zone repeat indicator, less batteries",STD,£427.00
Conventional,Conventional Xenex Panels,,XEN-FFR,Fire Fault Relay Unit,STD,£117.00
Conventional,Conventional Xenex Panels,,XENS-SPARE,Spares pack for Xenex Panels,STD,£93.00
Conventional,Conventional Xenex Panels,,XENS-FLAP,Replacement Mouldings and Cover Plates,STD,£105.00
Conventional,Conventional Xenex Panels,,13270-29,Flush Plate for 1-8 Panel and Repeat Panel Variants,STD,£83.00
Conventional,Conventional Horizon Panels,,002-492-222,"HRZ-2e, 2 zone Non-Addressable fire alarm control panel. 2 detection zones, 2 sounder outputs, surface mounting, fire and fault relays. 318 x 356 x 92mm (H x W xD)",STD,£365.00
Conventional,Conventional Horizon Panels,,002-492-242,"HRZ-4e, 4 zone Non-Addressable fire alarm control panel. 4 detection zones, 2 sounder outputs, surface mounting, fire and fault relays. 318 x 356 x 92mm (H x W x D)",STD,£455.00
Conventional,Conventional Horizon Panels,,002-492-282,"HRZ-8e, 8 zone Non-Addressable fire alarm control panel. 8 detection zones, 2 sounder outputs, surface mounting, fire and fault relays. 318 x 356 x 92mm (H x W x D)",STD,£669.00
Conventional,Conventional Horizon Panels,,020-713,Fire & fault relay module for NFS2-8,STD,£73.00
Conventional,Conventional Horizon Panels,,020-747,8-way input / output card. Provides up to 8 configurable relay outputs or up to 4 command inputs and 4 outputs,STD,£239.00
Conventional,Conventional Horizon Panels,,020-772,4-way sounder output module (1.5A Max),STD,£337.00
Conventional,Conventional Horizon Panels,,020-743,Capacitor kit for detectors not compatible with capacitive EOL monitoring. Includes 8 x 10µƒ capacitors. Active EOL's required - See part number 020-417,STD,£52.30
Conventional,Conventional Horizon Panels,,020-417,Active end of line monitor module,STD,£63.00
Conventional,Conventional Horizon Panels,,020-745-008,"Spare installation kit. Includes 8 capacitive end of lines, battery leads, Allen key, panel controls key and sounder end of line resistors",STD,£113.00
Conventional,Conventional Horizon Panels,,020-865,Spare red controls key - Pack of 10,STD,£143.00
Conventional,Conventional ES Detect,,805590,Detector Base. Can be used for ES Conventional and Intrinsically safe detection.                     ,STD,£9.50
Conventional,Conventional ES Detect,,805590-D,Detector Base With Diode        ,STD,£9.80
Conventional,Conventional ES Detect,,800371,Optical Smoke Detector  ,STD,£33.50
Conventional,Conventional ES Detect,,800171,Fixed Heat Detector,STD,£32.70
Conventional,Conventional ES Detect,,800177,Fixed Heat Detector Class B,STD,£50.40
Conventional,Conventional ES Detect,,800271,Rate of Rise Heat Detector            ,STD,£33.60
Conventional,Vision Range,,2020B,Standard detector mounting base for Vision detectors,STD,£10.40
Conventional,Vision Range,,2020BSD,Detector mounting base fitted with Schottky diode. For Vision detectors,STD,£8.40
Conventional,Vision Range,,2020DBSD,DEEP BASE SCHOT DIODE VISION S,STD,£14.30
Conventional,Vision Range,,2020PT,Optical thermal multi criteria conventional detector,STD,£46.10
Conventional,Vision Range,,2020P,Optical conventional detector,STD,£25.10
Conventional,Vision Range,,2020R,Rate of rise thermal A1R (58°C) conventional detector,STD,£29.50
Conventional,Vision Range,,2020F,Fixed temperature thermal A2S (58°C) conventional detector,STD,£28.60
Conventional,Vision Range,,2020HF,High fixed temperature thermal BS (78°C) conventional detector,STD,£29.50
Conventional,Vision Range,,ECO1000RTU A,Remote LASER tester for Vision detectors,STD,£78.00
Conventional,MCP,,M1A-R470SF-G017-01,MCP1A-RED-470-SURFACE-BC136R-FE1140-F222,STD,£16.60
Conventional,MCP,,M1A-R470FG-G017-01,"Flush MCP 470 Ohms, Glass (supplied without back box)",STD,£15.00
Conventional,MCP,,W1A-R470SF-G017-01,"Weatherproof MCP 470 Ohms, Glass (supplied with back box)",STD,£172.00
Conventional,MCP,,MUS156,Spare Glasses Conventional MCP (Pack of 10),STD,£12.90
Conventional,MCP,,K21SRS-01,Key Operated MCP (Supplied without back box) N/O contact,STD,£45.60
Conventional,MCP,,SC070,Pack of test keys (pack of 10),STD,£7.90
Conventional,MCP,,M1A-R470SG-STCK-01,Surface call point with 470 Ohm resistor and N.O. contact. Complete with glass. (Old PN: MCP1A-R470SG-01),STD,£15.90
Conventional,MCP,,M1A-Y470SF-K013-11,Yellow conventional KAC manual Call point,STD,£24.20
Conventional,MCP,,W1A-R470SG-STCK-01,Surface outdoor call point with 470 Ohm resistor and N.O. contact. Complete with glass. (Old PN: WCP1A-R470SG-01),STD,£171.00
Conventional,MCP,,PS031W,BOX MCP SURFACE MOUNT RED 1 TERMINAL,STD,£8.20
Conventional,MCP,,MUS158,Call point glass (Old PN: KG1X50)  Pack of 10,STD,£57.00
Conventional,MCP,,PS230,Resettable element for Conventional MCP (pack of 10),STD,£39.80
Conventional,MCP,,PS200,Call point cover.,STD,£7.50
Conventional,Beam Detection,,6500-LRK,Long range reflector kit for 70-100m,STD,£395.00
Conventional,Beam Detection,,6500-MMK,Multi Mount Kit for IR reflective beam. Provides ceiling and wall mount swivel brackets. Note: Requires 6500-SMK,STD,£243.00
Conventional,Beam Detection,,6500-SMK,Surface Mount Kit for IR reflective beam detector. Allows direct surface cable entry,STD,£55.00
Conventional,Beam Detection OSID Range,,BEAMHK,Heater kit for reflective beam detector. Requires 24V supply,STD,£308.00
Conventional,Beam Detection OSID Range,,BEAMHKR,Heater kit for beam reflector. Requires 24V supply,STD,£526.00
Conventional,Beam Detection OSID Range,,OSE-SP-01,"Emitter - Alkaline Battery
Alkaline Battery for Standard Power Emitter",HSF,£299.00
Conventional,Beam Detection OSID Range,,OSE-HP-01,"Emitter - High Power, Alkaline Battery
Alkaline Battery for High Power Emitter",HSF,£299.00
Conventional,Beam Detection OSID Range,,OSE-HPW,"Emitter - High Power, Wired
24 Vdc Power Supply for High Power Emitter. Enables double the detection ranges on the OSI- 90",HSF,£299.00
Conventional,Beam Detection OSID Range,,OSE-SPW,"Emitter - Standard Power, Wired
24 Vdc Power Supply for Standard Power Emitter",HSF,£299.00
Conventional,Beam Detection OSID Range,,OSI-10,"Imager - 7º coverage
Imager with a 7° field of view providing distances 30m to 150 m.
NB: Not suitable for use with High Powered Emitters.",HSF,£613.00
Conventional,Beam Detection OSID Range,,OSI-90,"Imager - 80º coverage-Imager with an 80° field of view providing distances 6m to 68m. Distances: 6-34m with OSE-SP-01 / OSE-SPW, 12-68m with OSE-HPW, 12-50m with OSE-HP-01. OSI-90 can operate with up to 7 Emitters.",HSF,£632.00
Conventional,Beam Detection OSID Range,,OSID-EHE,"Emitter environmental housing IP66
IP66-rated Environmental Housing for Emitters. Protects OSID Emitters from dust and water ingress",HSF,£162.00
Conventional,Beam Detection OSID Range,,OSID-EHI,"Imager environmental housing IP66
IP66-rated Environmental Housing for Emitters. Protects OSID Imagers from dust and water ingress. ",HSF,£205.00
Conventional,Beam Detection OSID Range,,OSEH-ACF,Anti-condensation film for OSID-EHE and OSID-EHI environmental housings. An easy applicable film that provides condensation resistance for the lenses of OSID Environmental Housings,HSF,£644.00
Conventional,Beam Detection OSID Range,,OSE-RBA,Spare alkaline battery pack for Emitter units. Replacement Alkaline Battery pack for Emitters.,HSF,£54.00
Conventional,Beam Detection OSID Range,,OSE-ACF,Anti-condensation film for Emitters. An easy applicable film that provides condensation resistance for the lenses of OSID Emitters.,HSF,£169.00
Conventional,Beam Detection OSID Range,,OSP-001,FTDI Cable 1.5m. 1.5m cable for connecting a PC to the Imager for use with OSID Diagnostic software. Cable may be extended by a further 20m when using an active USB amplifier.,HSF,£47.90
Conventional,Beam Detection OSID Range,,OSP-002,Laser Alignment tool. A simple and effective tool for fast alignment of OSID devices. Aligns and locks the eyeball. Also activates Emitters when locked.,HSF,£69.00
Conventional,Beam Detection OSID Range,,OSID-INST,"OSID Installation Kit. Kit including: Laser Alignment Tool, Test Filter, PC Cable, Cleaning Cloth, Reflectors and Manual.",HSF,£177.00
Conventional,Beam Detection OSID Range,,OSID-WG,Wire Guard. Steel cage to protect OSID Imagers and Emitters from damage.,HSF,£52.30
Conventional,Beam Detection OSID Range,,OSP-003,OSID FILTER ACRYLIC TEST PK10,HSF,£97.00
Conventional,Beam Detection OSID Range,,OSP-003-200,OSID FILTER ACRYLIC TEST PK200,HSF,"£1,612.00"
Conventional,Beam Detection OSID Range,,RTS151KEY,BEAM IMAGER RESET FLUSH MT,HSF,£98.00
Conventional,Beam Detection OSID Range,,RTS151KIT,OSID IMAGER RESET STATION SURF MT,HSF,£116.00
Conventional,Beam Detection OSID Range,,WM2348E,Single terminal back box for mounting RTS151KEY ,STD,£20.30
Conventional,Beam Detection OSID Range,,OSP-004,TEST FILTER 10 PK FOR OSID-R,HSF,£97.00
Conventional,Beam Detection OSID Range,,OSI-RE-SS,Conventional Reflective Beam. Uses the same accessories as the 6500 conventional beams. Please see conventional section to find these accessories,HSF,£795.00
Conventional,Beam Detection OSID Range,,OSI-RWG,OSID-R BEAM WIRE GUARD,HSF,£48.80
Conventional,Duct Detector,,2351E A,"Low profile Non-Addressable optical smoke detector compatible with the D2E duct detector.
For accessories please see Morley Addressable devices.",STD,£47.00
Conventional,Duct Detector,,D2E,"Duct detector housing complete with B401 base for Non-Addressable detectors. (Detector not supplied). Requires DSTXX duct sampling tube and sensor.
For accessories please see Morley Addressable devices.",STD,£324.00
Conventional,Duct Detector,,DST1,Metal sampling tube duct width up to 0.3m (Not compatible with DH400E and DH400ACDC-E) ,STD,£14.90
Conventional,Duct Detector,,DST1.5,Metal sampling tube duct widths 0.3 to 0.6m (Not compatible with DH400E and DH400ACDC-E),STD,£30.20
Conventional,Duct Detector,,DST3,Metal sampling tube duct widths 0.6 to 1.2m (Not compatible with DH400E and DH400ACDC-E),STD,£47.60
Conventional,Duct Detector,,DST5,Metal sampling tube duct widths 1.2 to 2.4m (Not compatible with DH400E and DH400ACDC-E),STD,£59.00
Conventional,Duct Detector,,DST10,Metal sampling tube duct widths 2.4 to 3.7m (Not compatible with DH400E and DH400ACDC-E),STD,£87.00
Conventional,Conventional Audio Visual Devices,,781814,Remote LED for ES Detect,STD,£10.40
Conventional,Conventional Audio Visual Devices,,RI/W/3V,Remote LED (flush mounting). Requires a single gang backbox for mounting,STD,£19.20
Conventional,Conventional Audio Visual Devices,,RI/W/BB,Surface Mount Base for RI/W/3V Remote LED indicator,STD,£11.50
Conventional,Conventional Audio Visual Devices,,CWW,White Deep IP65 Base Pack of 5,STD,£40.30
Conventional,Conventional Audio Visual Devices,,DBS1224B4W,"Ceiling mounting base sounder, four tone (white), no cover. If required the SC085 (white lid) to be ordered separately",STD,£45.00
Conventional,Conventional Audio Visual Devices,,CSR,"Red low profile base, provides multiple cable entry points and a range of fixing centres, suitable for use with all commonly encountered fire cable sizes & ranges. Pack of 5",STD,£27.80
Conventional,Conventional Audio Visual Devices,,CWR,"Red Deep IP65 base,  provides cable access for indoor surface & applications up to IP65, suitable for use with all commonly encountered fire cable sizes & ranges. Pack of 5",STD,£40.30
Conventional,Conventional Audio Visual Devices,,PS188,Deep Base O-Ring (Can be added to the conventional AV base to make it IP65 rated),STD,£24.90
Conventional,Conventional Audio Visual Devices,,PS189,Deep base Gasket accessory can be installed between the base and the mounting surface to provide the appropriate seal. Pack of 5,STD,£10.30
Conventional,Conventional Audio Visual Devices,,SC076,Earth strap. Pack of 5,STD,£35.70
Conventional,Conventional Audio Visual Devices,,SC085,White cover plate for DBS1224B4W ceiling mounting sounder. Pack of 10,STD,£25.10
Conventional,Conventional Audio Visual Devices,,CWSO-RR-S1,Sounder Red & Low Profile Base,STD,£38.50
Conventional,Conventional Audio Visual Devices,,CWSO-RR-W1,Sounder Red IP65 & Deep Base,STD,£39.30
Conventional,Conventional Audio Visual Devices,,CWSO-WW-S1,Sounder White & Low Profile Base,STD,£40.60
Conventional,Conventional Audio Visual Devices,,CWST-RW-S5,VAD-Red Base- White Flash ,STD,£115.00
Conventional,Conventional Audio Visual Devices,,CWST-RW-W5,VAD-Red Base- White Flash & IP65 Base,STD,£111.00
Conventional,Conventional Audio Visual Devices,,CWST-RR-S5,VAD-Red Base- Red Flash ,STD,£108.00
Conventional,Conventional Audio Visual Devices,,CWST-RR-W5,VAD-Red Base- Red Flash & IP65 Base,STD,£111.00
Conventional,Conventional Audio Visual Devices,,CWSS-RW-S5,Sounder VAD-Red Base- White Flash ,STD,£140.00
Conventional,Conventional Audio Visual Devices,,CWSS-RW-W5,Sounder VAD-Red Base- White Flash & IP65 Base,STD,£162.00
Conventional,Conventional Audio Visual Devices,,CWSS-RR-S5,Sounder VAD-Red Base- Red Flash ,STD,£135.00
Conventional,Conventional Audio Visual Devices,,CWSS-RR-W5,Sounder VAD-Red Base- Red Flash & IP65 Base,STD,£156.00
Conventional,Conventional Audio Visual Devices,,CWSS-WW-S5,Sounder VAD-White Base- White Flash ,STD,£149.00
Conventional,Conventional Audio Visual Devices,,CWSS-WW-W5,"White body with cool white flash, IP65 deep base, EN54-Pt.3 and Pt.23 W-2.4-8.9 and C-3-10 / C-6-10 class approved sounder strobe with clear lens, provides omni directional wall and ceiling mounting, comes with soft start feature as standard and suitable for 12 and 24V systems. Deep base included",STD,£130.00
Conventional,Conventional Audio Visual Devices,,74333-50NM,Bell 240V Grey weather resistant,STD,£101.00
Conventional,Conventional Audio Visual Devices,,74430-88NM,Bell 24V Red,STD,£56.00
Conventional,Conventional Audio Visual Devices,,74431-66NM,Bell 12V Grey,STD,£72.00
Conventional,Conventional Audio Visual Devices,,74432-88NM,BELL 24V Red weather resistant,STD,£95.00
Conventional,Conventional Audio Visual Devices,,KFB6,"6""Fire Bell, 24Vdc, 15mA, 94dBA @ 1m",STD,£46.60
Conventional,Conventional Modules & Relays,,REL/T/245,Wall-Mounted Addressable Wireless Sounder VAD - Red/Red. Powered by 4x CR123A 3V batteries,MORLEY,£68.00
Conventional,Conventional Modules & Relays,,K20SRS-11,Wall-Mounted Addressable Wireless Sounder VAD - White/Red. Powered by 4x CR123A 3V batteries,STD,£53.00
Conventional,Conventional Modules & Relays,,K20SWS-11,"Indoor key switch white, key removable in both positions, single pole",STD,£57.00
Conventional,Conventional Modules & Relays,,19107-52,24Vdc DPCO Relay c/w High Profile Enclosure,STD,£126.00
Conventional,Conventional Modules & Relays,,19104-52,Relay 24V DC Base & Diode,STD,£73.00
Conventional,Conventional Modules & Relays,,19106-02,Timer Octal Base 2-32 Secs. DOE 24V DC C/W Base,STD,£239.00
Conventional,Conventional Modules & Relays,,19100-02,High Profile Enclosure with DIN rail 125x125x100mm.,STD,£50.70
Flame Detection,Detector,,FS20X-211-23-6,Flame IR2/UV 60m Zone 1 Red Aluminium,HSF,"£2,947.00"
Flame Detection,Detector,,FS20X-211-24-6,Flame IR2/UV 60m Zone 1 Stainless Steel,HSF,"£3,136.00"
Flame Detection,Detector ,,FS24XP-AMGXX,FS24X Tripe IR flame detector Aluminium (Red) M25,HSF,"£4,128.00"
Flame Detection,Detector ,,FS24XP-SMGXX,FS24X Tripe IR flame detector Stainless Steel M26,HSF,"£4,398.00"
Flame Detection,Detector,,FSL100-UV,Flame UV 25m Zone 2/22 Red,HSF,"£1,886.00"
Flame Detection,Detector,,FSL100-UVIR,Flame UV/IR 25m Zone 2/22 Red,HSF,"£1,876.00"
Flame Detection,Detector,,FSL100-IR3,Flame IR3 35m Zone 2/22 Red,HSF,"£2,016.00"
Flame Detection,Accessories,,FS20X-211-10-6,Flame Electronics Module for FS20X Detector,HSF,"£2,837.00"
Flame Detection,Accessories,,TL-2055,Flame FS20X/24X Test lamp Hazardous Area,HSF,"£4,980.00"
Flame Detection,Accessories,,TL-1055,Flame FS20X/24X Test lamp Safe Area,HSF,"£2,180.00"
Flame Detection,Accessories,,SM4,Flame FS20X/24X Swivel Mount SS.,HSF,£251.00
Flame Detection,Accessories,,DASA6-N,FS24XP Flame detection Airshield (Prevents dust build up on Flame Detector Lens),HSF,£502.00
Flame Detection,Accessories,,FSX-A001,"Flame FSX Diagnostic Kit c/w Interface Module, RS485/USB Cable, PSU, Win PC Software",HSF,£863.00
Flame Detection,Accessories,,FSX-A006,Flame IR Bulb for TL Test Lamps,HSF,£299.00
Flame Detection,Accessories,,PSU-12,Flame Charger kit for TL test lamp,HSF,£214.00
Flame Detection,Accessories,,SH-001,Flame FS20X/24X Sunshield ,HSF,£212.00
Flame Detection,Accessories,,FSL100-SM21,Flame FSL100 Swivel Mount,HSF,£202.00
Flame Detection,Accessories,,FSL100-TL,Flame FSL100 Test Lamp,HSF,"£1,694.00"
Flame Detection,Accessories,,FSL100-TLBT,Flame 12V DC Battery for FSL test lamp,HSF,£510.00
Flame Detection,Accessories,,FSL100-TLBU,Flame H3 Bulb for FSL test lamp,HSF,£262.00
Flame Detection,Accessories,,FSL100-TLCH,Flame Charger kit for FSL test lamp,HSF,£312.00
Gent by Honeywell,Nano,Fire Panel,NANO-24,Nano Single Loop Control Panel. Non networkable. Batteries not included - requires 2 x 4015-501-YFR (Power Sonic Flame Retardant 12V 7Ah) to meet compliance regulations.,HSF,£424.00
Gent by Honeywell,Nano,Fire Panel Accessories,NANO-FLUSH,Flush Mounting Bezel for Nano-24,STD,£211.00
Gent by Honeywell,Nano,Fire Panel Spares,NS-SPARE,Spares Pack for Nano,STD,£110.00
Gent by Honeywell,Compact Plus,Fire Panel,COMPACT-PLUS,"Vigilon Compact Plus 1-2 loop Control Panel c/w 1 loop card & supplied in black. 
Batteries not included - requires 2 x 4015-514-YFR (Power Sonic Flame Retardant 12V 12Ah) to meet compliance regulations.",STD,"£1,898.00"
Gent by Honeywell,Compact Plus,Loop Card,COMPACT-LPC-EN,Additional Loop card (2km) for COMPACT-24-N ,STD,£766.00
Gent by Honeywell,Compact Plus,Fire Panel Communication,COMPACT-NC,Network Card for Vigilon Compact (EN Networks only),STD,"£1,235.00"
Gent by Honeywell,Compact Plus,Fire Panel Accessories,COMPACT-FLUSH,Control Panel Flush Surround (supplied in Black),STD,£227.00
Gent by Honeywell,Compact Plus,Fire Panel Accessories,COMPACT-FLUSH-SS,Main Control Panel Stainless Steel Flush Mounting Kit ,STD,£796.00
Gent by Honeywell,Compact Plus,Printer,PRINTER-HAND,Hand Held Printer - Thermal Type 58mm,STD,"£1,882.00"
Gent by Honeywell,Compact Plus,Printer,PRINTER-H-PAPER,Spare Paper Roll - 58mm ,STD,£42.30
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-MCB-PLUS,Replacement Main Control PCB for Compact Plus Control Panel ,STD,"£1,083.00"
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-PSU-N,Replacement PSU for Compact Control Panel,STD,£573.00
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-IDOOR-PLUS,Replacement Inner Door Assembly for Compact Plus and Compact-24 Panel (supplied in Black),STD,"£1,647.00"
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-ODOOR-PLUS,Compact Plus Outer Door Assembly (supplied in Black),STD,£298.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-IDOOR-SCREW,"Vigilon & Compact Inner Door Screw and Fastener, Pack of 10",STD,£40.00
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-SPARE,"Spares pack for Vigilon Compact (Fuses, Battery leads etc.)",STD,£152.00
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-CABLES,Spare Ribbon Cable set for Compact Panel,STD,£56.00
Gent by Honeywell,Compact Plus,Fire Panel Spares,VCS-ODOOR,Vigilon Compact 24hr Outer Door Assembly (supplied in Grey),STD,£449.00
Gent by Honeywell,Vigilon Plus,Fire Panel,VIGPLUS-24-NP,"1 to 4 Loop Vigilon Plus Control Panel without printer c/w 1 loop card & supplied in black. 
Recommend the use of fixed CLSS Gateway HON-CGW-MBB as a digital printer. 
Batteries not included - requires 2 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations.",STD,"£2,906.00"
Gent by Honeywell,Vigilon Plus,Fire Panel,VIGPLUS-24,"1 to 4 Loop Vigilon Plus Control Panel c/w 1 loop card & supplied in Black. 
Batteries not included - requires 2 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations.",STD,"£3,205.00"
Gent by Honeywell,Vigilon Plus,Fire Panel,VIGPLUS-72,"1 to 6 Loop Vigilon Plus Control Panel c/w 1 loop card & supplied in black.
Battery Enclosure not included (VS-BATTBOX-72).
Batteries not included - requires 4 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations. ",STD,"£4,705.00"
Gent by Honeywell,Vigilon Plus,Fire Panel,VIGPLUS-72-NP,"1 to 6 Loop Vigilon Plus Control Panel without printer c/w 1 loop card & supplied in black.
Recommend the use of fixed CLSS Gateway HON-CGW-MBB as a digital printer.  
Battery Enclosure not included (VS-BATTBOX-72).
Batteries not included - Requires 4X 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations.",STD,"£4,280.00"
Gent by Honeywell,Vigilon Plus,Loop Card,VIG-LPC-EN,Loop Card for VIGPLUS-24 and VIGPLUS-72 Vigilon Panels (EN54),STD,£767.00
Gent by Honeywell,Vigilon Plus,Loop Simulator,VS-LSIM,Vigilon loop simulator,STD,"£2,618.00"
Gent by Honeywell,Vigilon Plus,I/O Card,VIG-IOC-DOM,Input/Output Card for VIGPLUS-24 and VIGPLUS-72 Vigilon Panels (EN54),STD,"£1,180.00"
Gent by Honeywell,Vigilon Plus,Network Card,VIG-NC,Network Card for VIGPLUS-24 and VIGPLUS-72 Vigilon Panels (EN54),STD,£479.00
Gent by Honeywell,Vigilon Plus,Network Card,VIG-NC-FO,Fibre Optic Network Card for VIG1-24 and VIG1-72 Vigilon Panels (EN54 & V3+),STD,£900.00
Gent by Honeywell,Vigilon Plus,Network Card,VIG-NC-DOM-FO,Secure Domain Bridge Card for VIG1-24 and VIG1-72 Vigilon Panels (EN54 & V3+) ,STD,£968.00
Gent by Honeywell,Vigilon Plus,Network Card,VIG-NC-SMF,SMF Network Card,STD,"£1,028.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG-COMM-LEAD,USB Commissioning Lead and Dongle,STD,£116.00
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG-24-FLUSH,Flush Surround (Main Control Panel and Terminal Node),STD,£336.00
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG-DOOR-SS,Stainless Steel Door for Vigilon Main Control Panel,STD,"£2,042.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG-FLUSH-SS,Vigilon Main Control Panel Flush Mounting Kit (Stainless Steel),STD,"£1,066.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG-19-RACK,"Rack Mounting Frame for VIGPLUS-24 in a 19"" Rack",STD,£887.00
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VIG72-UPGR,Upgrade Kit to convert Vigilon 24 to Vigilon 72. Batteries not included - requires 4 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations. Also requires additional Battery Enclosure VS-BATTBOX-72.,STD,"£2,772.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Accessories,VS-BATTBOX-72,"Battery Box for VIGPLUS-72 & VIGPLUS-72-NP.
Batteries not included - 72hr panels require 4 x 4015-602-YFR (Power Sonic Flame Retardant 12V 21Ah) to meet compliance regulations.",STD,£873.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-PSU-24,Replacement PSU for VIG1-24,STD,"£2,877.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-PSU-72,Replacement PSU for VIG1-72,STD,"£3,900.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-IDOOR-PLUS,Replacement Inner Door for VIGPLUS-24 and VIGPLUS-72 (supplied in Black),STD,"£1,668.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-ODOOR-PLUS,Outer Door for VIGPLUS-24 & VIGPLUS-72 (supplied in Black),STD,£410.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-PRIN,Replacement Printer Assembly for Vigilon Panels,STD,"£1,253.00"
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-PROLL,Printer Roll For Vig & 34000,STD,£33.80
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-ODOOR,Vigilon Compact 24hr Outer Door Assembly (supplied in Grey),STD,£552.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-KEY,Spare Key for Vigilon and Compact Outer Door  (Pack of 10),STD,£110.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VS-ODLOCK,Replacement Lock for Vigilon Outer Door,STD,£110.00
Gent by Honeywell,Vigilon Plus,Fire Panel Spares,VIGPLUS-MCC,MCC Control Card for VIGPLUS-24 & VIGPLUS-72 (EN54) C/W Micro SD flash memory card,STD,£699.00
